Customer_ID,Age,Gender,Marital_Status,State,Product_Category,Order_Date,Orders,Amount
0,56,M,Married,Haryana,Food,2023-01-01,3,41636
1,69,F,Single,Maharashtra,Electronics,2023-01-01,3,36391
2,46,F,Single,Karnataka,Electronics,2023-01-01,1,6165
3,32,F,Married,Uttar Pradesh,Electronics,2023-01-01,8,41481
4,60,M,Single,Delhi,Food,2023-01-01,8,3890
5,25,F,Married,Uttar Pradesh,Food,2023-01-01,9,8859
6,38,F,Married,Haryana,Food,2023-01-01,6,26137
7,56,F,Married,Karnataka,Clothing,2023-01-01,2,9564
8,36,M,Single,Uttar Pradesh,Electronics,2023-01-01,1,2281
9,40,M,Single,Karnataka,Home,2023-01-01,8,7583
10,28,F,Married,Karnataka,Clothing,2023-01-01,4,26472
11,28,F,Single,Delhi,Clothing,2023-01-01,7,25707
12,41,F,Single,Maharashtra,Home,2023-01-02,4,18485
13,53,M,Single,Haryana,Electronics,2023-01-02,1,19765
14,57,M,Married,Uttar Pradesh,Home,2023-01-02,8,35131
15,41,M,Married,Maharashtra,Food,2023-01-02,9,33989
16,20,F,Single,Delhi,Electronics,2023-01-02,9,7742
17,39,M,Married,Maharashtra,Clothing,2023-01-02,9,32889
18,19,F,Single,Karnataka,Food,2023-01-02,4,12028
19,41,F,Single,Karnataka,Food,2023-01-02,9,41121
20,61,M,Single,Haryana,Clothing,2023-01-02,4,49894
21,47,F,Married,Uttar Pradesh,Home,2023-01-02,2,7405
22,55,M,Married,Uttar Pradesh,Food,2023-01-02,3,5138
23,19,F,Single,Delhi,Food,2023-01-03,2,37640
24,38,F,Married,Haryana,Electronics,2023-01-03,1,31869
25,50,M,Single,Uttar Pradesh,Electronics,2023-01-03,6,26072
26,29,F,Married,Karnataka,Clothing,2023-01-03,4,37439
27,39,F,Married,Haryana,Clothing,2023-01-03,7,23366
28,61,F,Married,Maharashtra,Clothing,2023-01-03,7,22453
29,42,F,Single,Haryana,Home,2023-01-03,1,28226
30,66,F,Single,Haryana,Food,2023-01-03,9,47641
31,44,F,Single,Uttar Pradesh,Clothing,2023-01-03,8,45873
32,59,F,Married,Delhi,Electronics,2023-01-03,1,48955
33,45,F,Single,Delhi,Food,2023-01-03,8,4001
34,33,M,Single,Uttar Pradesh,Clothing,2023-01-04,5,1686
35,32,M,Single,Uttar Pradesh,Food,2023-01-04,1,34649
36,64,F,Single,Uttar Pradesh,Food,2023-01-04,4,47518
37,68,F,Married,Delhi,Food,2023-01-04,7,13116
38,61,M,Married,Uttar Pradesh,Clothing,2023-01-04,5,49041
39,69,F,Single,Maharashtra,Food,2023-01-04,3,18788
40,20,M,Married,Maharashtra,Food,2023-01-04,4,45126
41,54,M,Married,Karnataka,Food,2023-01-04,2,27024
42,68,M,Married,Maharashtra,Electronics,2023-01-04,8,12725
43,24,F,Married,Haryana,Clothing,2023-01-04,2,29647
44,38,F,Married,Karnataka,Home,2023-01-04,6,44987
45,26,F,Single,Maharashtra,Electronics,2023-01-05,7,2252
46,56,M,Married,Haryana,Food,2023-01-05,7,26813
47,35,M,Single,Maharashtra,Food,2023-01-05,1,35222
48,21,M,Single,Haryana,Home,2023-01-05,8,22155
49,42,F,Single,Uttar Pradesh,Home,2023-01-05,9,33805
50,31,M,Married,Haryana,Electronics,2023-01-05,7,19274
51,67,M,Married,Uttar Pradesh,Food,2023-01-05,8,26865
52,26,F,Married,Haryana,Home,2023-01-05,4,49013
53,43,M,Married,Haryana,Electronics,2023-01-05,8,9882
54,19,M,Single,Maharashtra,Home,2023-01-05,3,37204
55,37,F,Single,Haryana,Food,2023-01-05,1,18379
56,45,F,Single,Maharashtra,Food,2023-01-06,8,32472
57,64,M,Married,Haryana,Food,2023-01-06,6,39484
58,24,F,Single,Delhi,Food,2023-01-06,9,21407
59,61,M,Single,Karnataka,Clothing,2023-01-06,3,3870
60,25,F,Single,Maharashtra,Clothing,2023-01-06,8,1759
61,64,M,Married,Maharashtra,Clothing,2023-01-06,9,6326
62,52,F,Single,Uttar Pradesh,Electronics,2023-01-06,9,36298
63,31,M,Single,Delhi,Electronics,2023-01-06,7,5195
64,34,F,Married,Uttar Pradesh,Home,2023-01-06,3,33364
65,53,F,Single,Delhi,Home,2023-01-06,3,13265
66,67,F,Married,Delhi,Electronics,2023-01-06,2,46577
67,57,F,Single,Haryana,Home,2023-01-07,1,33205
68,21,F,Married,Uttar Pradesh,Electronics,2023-01-07,2,25790
69,19,F,Married,Karnataka,Clothing,2023-01-07,5,19378
70,23,F,Married,Delhi,Electronics,2023-01-07,1,4543
71,59,M,Single,Delhi,Electronics,2023-01-07,4,14086
72,21,M,Single,Maharashtra,Home,2023-01-07,1,5639
73,46,F,Married,Haryana,Home,2023-01-07,8,33130
74,35,F,Married,Karnataka,Electronics,2023-01-07,5,48030
75,43,M,Married,Delhi,Food,2023-01-07,4,3397
76,61,M,Married,Maharashtra,Home,2023-01-07,3,40796
77,51,F,Married,Uttar Pradesh,Electronics,2023-01-07,9,2530
78,27,M,Married,Delhi,Home,2023-01-08,6,16169
79,53,M,Married,Maharashtra,Food,2023-01-08,1,17477
80,31,F,Married,Uttar Pradesh,Home,2023-01-08,8,35099
81,48,F,Married,Haryana,Electronics,2023-01-08,2,14862
82,65,F,Married,Uttar Pradesh,Electronics,2023-01-08,9,43136
83,32,M,Married,Delhi,Food,2023-01-08,7,7099
84,25,F,Married,Karnataka,Electronics,2023-01-08,3,33379
85,31,F,Single,Uttar Pradesh,Food,2023-01-08,4,28810
86,40,M,Married,Karnataka,Electronics,2023-01-08,3,37738
87,57,F,Single,Karnataka,Electronics,2023-01-08,6,14126
88,38,M,Single,Uttar Pradesh,Home,2023-01-08,9,25920
89,33,M,Single,Haryana,Home,2023-01-08,9,35441
90,62,M,Married,Uttar Pradesh,Food,2023-01-09,1,3578
